name,PLD(A),LCD(A),surfacearea[m^2/g],Porosity,Density(gr/cm3),%C,%F,%H,%N,%O,%S,%Si
linker100_C_linker61_C_dei-z_relaxed_interp_2,11.26516,13.25046,4481.51,0.755347,0.483676,50,0,30,15,5,0,0
linker100_C_linker61_C_lvt_relaxed_interp_2,5.76431,10.39052,4780.42,0.760519,0.531544,50,0,30,15,5,0,0
linker100_C_linker61_C_nfc_relaxed,6.87004,8.42145,5427.34,0.775359,0.527984,50,0,30,15,5,0,0
linker100_C_linker61_C_tcb_relaxed,4.28397,6.02695,590.924,0.245682,0.917784,50,0,30,15,5,0,0
linker100_C_linker62_C_lvt_relaxed_interp_2,7.57626,10.04031,3938.69,0.752842,0.541643,57.894737,0,21.052632,15.789474,5.263158,0,0
linker100_C_linker62_C_nfc_relaxed,6.39946,8.63809,4969.6,0.770626,0.555806,57.894737,0,21.052632,15.789474,5.263158,0,0
linker100_C_linker62_C_umc_relaxed_interp_2,8.23302,10.96297,4893.27,0.774887,0.483567,57.894737,0,21.052632,15.789474,5.263158,0,0
linker100_C_linker63_C_kgm_relaxed,14.70901,16.24837,5190.94,0.776983,0.427306,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker63_C_lvt_relaxed_interp_2,5.27808,10.12117,4176.67,0.72104,0.558022,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker63_C_nfa_relaxed,11.95679,14.3165,4228.86,0.768927,0.452654,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker64_C_dei-z_relaxed_interp_2,11.35029,13.22338,4043.14,0.748208,0.517401,55,0,25,10,10,0,0
linker100_C_linker64_C_lvt_relaxed_interp_2,6.63887,10.07361,4167.17,0.753936,0.550335,55,0,25,10,10,0,0
linker100_C_linker64_C_nfc_relaxed,6.13273,8.36451,4850.1,0.762965,0.564858,55,0,25,10,10,0,0
linker100_C_linker64_C_umc_relaxed_interp_2,8.38733,12.6381,4308.54,0.761512,0.489578,55,0,25,10,10,0,0
linker100_C_linker65_C_dia_relaxed,8.45207,9.44867,6004.75,0.78829,0.449567,60,0,15,20,5,0,0
linker100_C_linker65_C_kgm_relaxed,15.03344,16.75371,3288.66,0.701411,0.475147,60,0,15,20,5,0,0
linker100_C_linker65_C_lvt_relaxed_interp_2,6.31609,7.81878,3820.09,0.719163,0.61604,60,0,15,20,5,0,0
linker100_C_linker65_C_nfa_relaxed,10.24002,13.8496,3870.97,0.752798,0.496222,60,0,15,20,5,0,0
linker100_C_linker65_C_nfc_relaxed,6.3356,7.50821,3775.45,0.724434,0.624151,60,0,15,20,5,0,0
linker100_C_linker65_C_umc_relaxed_interp_2,7.07063,9.86602,4657.09,0.73801,0.542131,60,0,15,20,5,0,0
linker100_C_linker66_C_dia_relaxed,7.70338,9.70648,6125.43,0.791366,0.409179,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker66_C_kgm_relaxed,15.15249,16.14052,4624.68,0.762425,0.434566,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker66_C_nfa_relaxed,10.57866,12.99251,4562.98,0.77588,0.45466,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker66_C_umc_relaxed_interp_2,7.59184,10.91417,4732.29,0.735297,0.492459,50,0,31.818182,9.090909,9.090909,0,0
linker100_C_linker67_C_kgm_relaxed,15.28375,17.16585,4178.87,0.78751,0.463653,52.380952,0,23.809524,9.52381,14.285714,0,0
linker100_C_linker67_C_lvt_relaxed_interp_2,6.66034,9.01412,3700.06,0.725973,0.598826,52.380952,0,23.809524,9.52381,14.285714,0,0
linker100_C_linker67_C_nfc_relaxed,6.14486,8.54569,4081.09,0.727382,0.610297,52.380952,0,23.809524,9.52381,14.285714,0,0
linker100_C_linker68_C_kgm_relaxed,15.20779,16.68582,4188.54,0.7917,0.466993,50,0,20,15,15,0,0
linker100_C_linker68_C_nfc_relaxed,6.08038,8.61807,3926.58,0.737517,0.613501,50,0,20,15,15,0,0
linker100_C_linker68_C_qtz_relaxed,7.26292,7.7023,4380.51,0.793794,0.577494,50,0,20,15,15,0,0
linker100_C_linker68_C_umc_relaxed_interp_2,8.78976,12.22795,3900.95,0.749426,0.530912,50,0,20,15,15,0,0
linker100_C_linker69_C_dia_relaxed,7.42284,10.00499,5885.86,0.780562,0.43387,52.173913,0,30.434783,8.695652,8.695652,0,0
linker100_C_linker69_C_kgm_relaxed,15.23926,16.06957,4195.2,0.750658,0.458928,52.173913,0,30.434783,8.695652,8.695652,0,0
linker100_C_linker69_C_nfa_relaxed,10.61233,13.43123,4043.39,0.748858,0.480393,52.173913,0,30.434783,8.695652,8.695652,0,0
linker100_C_linker69_C_umc_relaxed_interp_2,7.48489,10.67615,4317.22,0.714711,0.52311,52.173913,0,30.434783,8.695652,8.695652,0,0
linker100_C_linker7_C_dia_relaxed,8.43009,9.11887,6596.8,0.755548,0.392002,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker7_C_gis_relaxed,9.56437,15.11791,5936.36,0.777407,0.336746,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker7_C_kgm_relaxed,14.70438,16.87609,4459.23,0.729074,0.415095,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker7_C_nfa_relaxed,10.61246,13.14037,4584.44,0.734537,0.432821,53.846154,0,42.307692,0,3.846154,0,0
linker100_C_linker70_C_dia_relaxed,8.2519,9.08563,5752.07,0.726466,0.469007,46.153846,0,34.615385,7.692308,11.538462,0,0
linker100_C_linker70_C_gis_relaxed,8.46511,15.52706,5108.63,0.762644,0.401968,46.153846,0,34.615385,7.692308,11.538462,0,0
linker100_C_linker70_C_kgm_relaxed,11.71501,14.32205,3951.88,0.692535,0.498953,46.153846,0,34.615385,7.692308,11.538462,0,0
linker100_C_linker70_C_mer_relaxed,14.02213,18.79998,4883.64,0.771318,0.379868,46.153846,0,34.615385,7.692308,11.538462,0,0
linker100_C_linker70_C_qtz_relaxed,6.71281,7.17214,3600.61,0.633471,0.625517,46.153846,0,34.615385,7.692308,11.538462,0,0
linker100_C_linker71_C_dia_relaxed,7.77885,9.91532,5660.21,0.798442,0.4358,50,0,27.272727,13.636364,9.090909,0,0
linker100_C_linker71_C_kgm_relaxed,13.14819,15.71949,4684.8,0.77764,0.457907,50,0,27.272727,13.636364,9.090909,0,0
linker100_C_linker71_C_qtz_relaxed,7.32807,7.78339,4389.39,0.774792,0.576388,50,0,27.272727,13.636364,9.090909,0,0
linker100_C_linker71_C_umc_relaxed_interp_2,7.53834,9.83931,4559.25,0.739815,0.530078,50,0,27.272727,13.636364,9.090909,0,0
linker100_C_linker72_C_kgm_relaxed,12.90216,15.77906,3234.09,0.701449,0.555139,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker72_C_lvt_relaxed_interp_2,5.2374,6.37141,2763.32,0.600739,0.716855,50,0,20.833333,8.333333,20.833333,0,0
linker100_C_linker72_C_mer_relaxed,13.7351,17.19747,4332.73,0.796908,0.428908,50,0,20.833333,8.333333,20.833333,0,0
